ite,tExecS,MediaTCumulativa,Acuracia,MediaAcCumulativa
80,8.93399667739868,8.63545325398445,0.996774502166277,0.996531735618517
81,8.32691144943237,8.63164409590356,0.996446485437424,0.996530683147145
82,8.4113335609436,8.62895738206259,0.996542156983339,0.996530823071977
83,8.76831579208374,8.63063639905079,0.996699331665915,0.996532853296
84,8.86885023117065,8.6334722780046,0.996603660119999,0.996533696234381
85,8.16784715652466,8.62799433539895,0.99641915071002,0.996532348639977
86,8.80823063850403,8.63009010636529,0.996391815982615,0.99653071453931
87,8.16757345199585,8.62477382298174,0.996555824347042,0.996531003157789
88,8.27336883544922,8.62078058448705,0.996589992756297,0.996531673494136
89,8.23565149307251,8.61645329132509,0.996637828529255,0.99653286624734
90,8.44708681106567,8.61457144154443,0.996747167438873,0.99653524737169
91,8.21119070053101,8.61013868614867,0.996651495892957,0.996536524827968
92,8.97348070144653,8.61408805588017,0.996583159074446,0.996537031721951
93,8.3742094039917,8.61150871553729,0.996576325392595,0.996537454234539
94,8.84618592262268,8.61400528157011,0.996425984391871,0.996536268385149
95,8.91655564308167,8.6171900222176,0.996439651755573,0.996535251367995
96,8.9404079914093,8.62055687606335,0.996678830620362,0.996536746985207
97,8.32173991203308,8.6174762888053,0.996487487528531,0.996536239155757
98,8.85947370529175,8.61994565019802,0.996542156983339,0.996536299541753
99,8.64242124557495,8.62017267641395,0.996466986482977,0.996535599409846
100,8.33381009101868,8.61730905056,0.996432818073722,0.996534571596485
101,8.88445067405701,8.61995401712928,0.996507988574084,0.996534308398243
102,8.95272397994995,8.62321646774516,0.996548990665191,0.996534452342037
103,8.35790085792542,8.62064058803818,0.996439651755573,0.996533531947993
104,8.81205582618713,8.62248111917422,0.996596826438148,0.99653414054886
105,8.81289792060852,8.62429461252122,0.996282477072997,0.996531743753852
106,9.01471161842346,8.62797779182218,0.996432818073722,0.996530810492719
107,8.39805722236633,8.62582900145344,0.996583159074446,0.9965312997318
108,8.33382105827332,8.62312522420177,0.996644662211106,0.996532349384387
109,8.6859347820282,8.62370145867724,0.996501154892233,0.996532063196385
110,8.89049983024597,8.62612689841877,0.996398649664466,0.996530850346095
111,8.96930050849915,8.62921855256364,0.996446485437424,0.996530090301873
112,8.17419409751892,8.62515583421503,0.99667199693851,0.996531357325414
113,8.16736245155334,8.62110456534192,0.996535323301488,0.996531392422548
114,8.38036179542542,8.61899278665844,0.996685664302213,0.99653274568465
115,8.19905924797058,8.61534119066985,0.996542156983339,0.99653282752203
